start,end,description,title,link,image
1727,1811,Presidente de la Junta Nacional de Gobierno de Chile,Mateo de Toro-Zambrano y Ureta,http://es.wikipedia.org/wiki/Mateo_de_Toro_y_Zambrano,//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Conde_de_la_conquista.svg/128px-Conde_de_la_conquista.svg.png
1840,1891,Presidente de la República de Chile,José Manuel Balmaceda Fernández,http://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Balmaceda_Fern%C3%A1ndez,//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Firma_J.M_Balmaceda.png/128px-Firma_J.M_Balmaceda.png
1824,1889,Presidente de la República de Chile,Domingo Santa María González,http://es.wikipedia.org/wiki/Domingo_Santa_Mar%C3%ADa_Gonz%C3%A1lez,//upload.wikimedia.org/wikipedia/commons/thumb/3/38/Firma_Domingo_Santa_Mar%C3%ADa.jpg/128px-Firma_Domingo_Santa_Mar%C3%ADa.jpg
1825,1884,Presidente de la República de Chile,Aníbal Pinto Garmendia,http://es.wikipedia.org/wiki/An%C3%ADbal_Pinto_Garmendia,//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Anibal_Pinto_3.jpg/250px-Anibal_Pinto_3.jpg
1825,1877,Presidente de la República de Chile,Federico Errázuriz Zañartu,http://es.wikipedia.org/wiki/Federico_Err%C3%A1zuriz_Za%C3%B1artu,//upload.wikimedia.org/wikipedia/commons/thumb/8/82/Firma_Federico_Errazuriz_Za%C3%B1artu.svg/128px-Firma_Federico_Errazuriz_Za%C3%B1artu.svg.png
1801,1889,Presidente de Chile,José Joaquín Pérez Mascayano,http://es.wikipedia.org/wiki/Jos%C3%A9_Joaqu%C3%ADn_P%C3%A9rez_Mascayano,//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/JJPEREZ.png/225px-JJPEREZ.png
1809,1880,Presidente de la República de Chile,Manuel Montt,http://es.wikipedia.org/wiki/Manuel_Montt_Torres,//upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Firma_Manuel_Montt.png/128px-Firma_Manuel_Montt.png
1799,1866,Presidente de la República de Chile,Manuel Bulnes Prieto,http://es.wikipedia.org/wiki/Manuel_Bulnes_Prieto,//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Firma_Manuel_Bulnes.svg/128px-Firma_Manuel_Bulnes.svg.png
1786,1854,Presidente de la República de Chile,José Joaquín Prieto Vial,http://es.wikipedia.org/wiki/Jos%C3%A9_Joaqu%C3%ADn_Prieto_Vial,//upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Firma_Jos%C3%A9_Joaquin_Prieto.png/128px-Firma_Jos%C3%A9_Joaquin_Prieto.png
1911,1982,Presidente de Chile,Eduardo Frei Montalva,http://es.wikipedia.org/wiki/Eduardo_Frei_Montalva,//upload.wikimedia.org/wikipedia/commons/thumb/8/83/Firma_Frei_Montalva.svg/128px-Firma_Frei_Montalva.svg.png
1885,1966,Presidente de Chile,Juan Antonio Iribarren,http://es.wikipedia.org/wiki/Juan_Antonio_Iribarren,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/Juan_Antonio_Iribarren.JPG/225px-Juan_Antonio_Iribarren.JPG
1896,1986,Presidente de la República de Chile,Jorge Alessandri Rodríguez,http://es.wikipedia.org/wiki/Jorge_Alessandri_Rodr%C3%ADguez,//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Firma_Jorge_Alessandri.PNG/128px-Firma_Jorge_Alessandri.PNG
